OTUID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
310e0bc3e13439e3dfc3a86800ca490c,Eukaryota,,,,,,,,,0.998387492
2302d676691a4256dfd7837a6f1fd451,Eukaryota,,,,,,,,,0.998444722
b3a7352dbaff4dade3a1b297dc283eff,Eukaryota,TSAR,Alveolata,,,,,,,0.891269271
d7b968658bef0bc3a83859d2b5dda893,Eukaryota,TSAR,Alveolata,,,,,,,0.888616002
b08aeef29b60933969499744aa0400eb,Eukaryota,TSAR,Alveolata,,,,,,,0.896029709
c316fc04d2454eee9cd315bf6ee17499,Eukaryota,,,,,,,,,0.998388053
ed86a0259fdf087a2c06dee06ec21d51,Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,Elardia,Euamoebida,Vermamoebidae,Hartmannella,Hartmannella_abertawensis,0.999998973
375af4211400873b3bc651003841651c,Eukaryota,,,,,,,,,0.99042342
16be3361b52891758bd2c234a3dbd495,Eukaryota,,,,,,,,,0.990561333
fcd9f27e8b1e4026396b67fa7b8032ce,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,Pythium,,0.94902365
a3cea46c64133ab0bd936139b195848c,Eukaryota,TSAR,Stramenopiles,Bigyra,,,,,,0.900121289
aa3579c295d0e1774ee096d7fd49d99a,Eukaryota,TSAR,Stramenopiles,Bigyra,,,,,,0.89790573
5c5f70a81569c70ef2dc53f95f8b1843,Eukaryota,TSAR,Stramenopiles,Bigyra,,,,,,0.897493127
f5eef171eb14cf66176ed3357ac6aa0e,Eukaryota,TSAR,Stramenopiles,Bigyra,,,,,,0.88658403
be375ef35df1989fc0add162fd36d364,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.,0.809657104
b16095a6b2a9f747585685655ddc329d,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.,0.816468795
e9594a219e86979bf780e2da2763f048,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.,0.802146523
b66151eac8ba1483d74fc227fc91505e,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.,0.822313679
c1be2ac5a0dde74596ac0b7e55e811b4,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.,0.809219803
4071d27be80240179975e33c161ff8cb,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.984064074
27ae65ace6f0f9a6baa2122fbca6a112,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.98933544
f0f372b3a299151fe1df9ea295829139,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.990062661
5ee7e155918e08a93e05a0f07e779cd1,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.989855384
31561534503ba741e21dc9e15f791112,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.992297848
751ecd67036b2c63c501982ea4af6a3e,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.991988565
9534ede852a080f302660593b36a6dcc,Eukaryota,TSAR,Stramenopiles,Gyrista,Pirsoniales,Pirsoniales_X,Pirsoniales_XX,Pirsonia,Pirsonia_guinardiae,0.99046307
a08f8d50f4c4d03b8a0cd77a7fd986f8,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Fibrophrys,Fibrophrys_sp.,0.983296964
39aa5ef5ae318dd65633a1b95f6b879f,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Fibrophrys,Fibrophrys_sp.,0.981491724
72cd3f49649d25733f47c46ae318937d,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Amphifilaceae,Fibrophrys,Fibrophrys_sp.,0.888776929
4b899f5fac1e57090ef756e3e4c62ab3,Eukaryota,,,,,,,,,0.998997102
f15366642585b31b49e23c93bfd28bd6,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,,0.912520167
5bff10102806996a0e664645efa0b143,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,,0.912124855
0b974dc33ab3000dd586f7fa825bd2b0,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,,0.912518642
860205f2309941a90bcf0879e16bf552,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Penicillium,,0.912521982
c1ddd687fd511d2f900d0a0db0e0a937,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,,,0.809509645
35a64f845e6542060860e7d518d9ac2a,Eukaryota,,,,,,,,,0.998689104
ff8381422be16c83b8835e4de73e1697,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.897230767
522a630d46773cc914d4f9e4d2be8b5c,Eukaryota,,,,,,,,,0.998727757
018a0d47f188d2d52f5bf64144623d7d,Eukaryota,,,,,,,,,0.998612219
03ea2b6f19cfd673bbc196a294d3ba59,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,,,,,0.750630741
7d4a21f69bcca2077fda9988f5f0c335,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,,,,,0.736026241
85e4afa42159b300ba52b8946ef3bf67,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,,,,,0.74551348
602c17f7a077462082fae8877b20637c,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp.,0.999565079
