OTUID,Bon18.1,Bon18.2,Bon18.3,Bon22.1,Bon22.2,Bon22.3
310e0bc3e13439e3dfc3a86800ca490c,0,0,4,0,0,0
2302d676691a4256dfd7837a6f1fd451,0,0,0,2,0,0
b3a7352dbaff4dade3a1b297dc283eff,0,0,0,19,0,0
d7b968658bef0bc3a83859d2b5dda893,0,0,0,0,21,0
b08aeef29b60933969499744aa0400eb,0,0,0,0,0,8
c316fc04d2454eee9cd315bf6ee17499,0,0,7,0,0,0
ed86a0259fdf087a2c06dee06ec21d51,0,0,0,2,0,0
375af4211400873b3bc651003841651c,0,0,0,5,0,0
16be3361b52891758bd2c234a3dbd495,0,0,2,0,0,0
fcd9f27e8b1e4026396b67fa7b8032ce,0,0,5,0,0,0
a3cea46c64133ab0bd936139b195848c,0,0,0,134,0,0
aa3579c295d0e1774ee096d7fd49d99a,0,0,0,0,195,0
5c5f70a81569c70ef2dc53f95f8b1843,0,0,0,0,0,91
f5eef171eb14cf66176ed3357ac6aa0e,0,0,0,0,55,0
be375ef35df1989fc0add162fd36d364,0,0,0,28,0,0
b16095a6b2a9f747585685655ddc329d,2,0,0,0,0,0
e9594a219e86979bf780e2da2763f048,0,0,0,0,95,0
b66151eac8ba1483d74fc227fc91505e,0,3,0,0,0,0
c1be2ac5a0dde74596ac0b7e55e811b4,0,0,0,0,0,20
4071d27be80240179975e33c161ff8cb,89,0,0,0,0,0
27ae65ace6f0f9a6baa2122fbca6a112,0,0,0,8,0,0
f0f372b3a299151fe1df9ea295829139,471,0,0,0,0,0
5ee7e155918e08a93e05a0f07e779cd1,0,0,0,0,9,0
31561534503ba741e21dc9e15f791112,0,329,0,0,0,0
751ecd67036b2c63c501982ea4af6a3e,0,0,0,0,0,6
9534ede852a080f302660593b36a6dcc,0,0,324,0,0,0
a08f8d50f4c4d03b8a0cd77a7fd986f8,0,0,0,9,0,0
39aa5ef5ae318dd65633a1b95f6b879f,0,7,0,0,0,0
72cd3f49649d25733f47c46ae318937d,0,5,0,0,0,0
4b899f5fac1e57090ef756e3e4c62ab3,0,0,0,0,2,0
f15366642585b31b49e23c93bfd28bd6,11,0,0,0,0,0
5bff10102806996a0e664645efa0b143,0,0,0,0,9,0
0b974dc33ab3000dd586f7fa825bd2b0,0,13,0,0,0,0
860205f2309941a90bcf0879e16bf552,0,0,8,0,0,0
c1ddd687fd511d2f900d0a0db0e0a937,0,0,0,0,0,3
35a64f845e6542060860e7d518d9ac2a,3,0,0,0,0,0
ff8381422be16c83b8835e4de73e1697,0,0,0,0,10,0
522a630d46773cc914d4f9e4d2be8b5c,0,0,0,0,0,7
018a0d47f188d2d52f5bf64144623d7d,0,0,3,0,0,0
03ea2b6f19cfd673bbc196a294d3ba59,0,0,0,19,0,0
7d4a21f69bcca2077fda9988f5f0c335,0,0,0,0,18,0
85e4afa42159b300ba52b8946ef3bf67,0,0,0,0,0,17
602c17f7a077462082fae8877b20637c,45,0,0,0,0,0
0e4e66507e790cd729f84ef656ca0a25,0,19,0,0,0,0
0e9435928c75d5eae269e8c7ea046fef,0,0,46,0,0,0
781da64864fe2226081162a368c9c203,0,2,0,0,0,0
03c5b5d8fdda38889d7094532fd934e7,0,0,4,0,0,0
3be1ff72a1a721978215c79355520a83,0,2,0,0,0,0
8c69a57be781fb608250eb6b1393a95c,0,0,0,3,0,0
5afbf4b93d909f57a9f94ff472ccb3ce,0,4,0,0,0,0
0116c0204a888743f69e63ab78c44192,0,0,0,0,0,3
be74adae995e42458ccf5add6ac1fe9d,6,0,0,0,0,0
b8b8c69b7fc6111001e7479e8d6a38e5,13,0,0,0,0,0
93d12ba3ce70268b16117d6bd990e1cc,0,0,0,0,12,0
0a39316413fb89c98a0c5e85d0a3b2fb,0,11,0,0,0,0
deb1c03a29fb61f7555ff55410f5e47b,0,0,0,0,0,12
3ad4867fb872e1a551c9ac2fe6ccf68f,0,0,0,16,0,0
04054cf973b08d86e768eac13b4e8091,50,0,0,0,0,0
d614112be4cf43011f25a7e963a137d8,0,0,0,0,23,0
ff60970b8a7d8d7cec405625c82e3a70,0,45,0,0,0,0
baad6ae117754522126252db57c7fa19,0,0,56,0,0,0
61c7ff61eed4f151cc28dbb43a0cb71c,0,0,0,7,0,0
d130335ca00018915d6579a62cc8636c,39,0,0,0,0,0
e8b6f507045ae37b6dd3f116142dbf36,0,0,0,0,23,0
2ecc16bb26629a69672eacb5ac9faf85,0,19,0,0,0,0
