Feature ID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
251b1a65d66bda55d4d1f31ec52cdcb9,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,0.92838728
5756a68bad4c5f5a1f6aae059244c3b3,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,0.927524393
e1583dc079831d196ae035248cd0e1af,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Macrocyclops,Macrocyclops_albidus,0.963117013
1d31ec5250a1ba8685b880d2c8862c6b,Eukaryota,,,,,,,,,0.999264967
7ea82378952490d255e7fe47e4cf7692,Eukaryota,,,,,,,,,0.9993514
3838c17314efef7ced48e2d408e47d7c,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.995310461
f1823124c0a55a1fc16018ddcd6a2d68,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.993826279
f77363d5ba8ef0c10777e7ea9958bda8,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12C,MAST-12C_sp.,0.839952146
9c0aea94dee499570305a8de6d34dacc,Eukaryota,TSAR,,,,,,,,0.71530076
60668bae4689b2e839697b16adb50297,Eukaryota,TSAR,Stramenopiles,,,,,,,0.711510643
e7ccebf949abb07bdfe56b649af38371,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Monomastigales,Monomastigaceae,,,0.989988972
05c74b5b3b5178791e2245a7ed68f932,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Monomastigales,Monomastigaceae,,,0.990764532
980e16c6819926b84040b7191b346dfd,Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,,,,,,0.989276557
3e0d96e820008fbf89d64557e8440328,Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,,,,,,0.983172108
f67ed4b1f45a913607f50e2f5d40871c,Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,,,,,,0.980756739
682fa9dd4efd1f323e852d6becfacccd,Eukaryota,Haptista,Centroplasthelida,Centroplasthelida_X,,,,,,0.984264329
5b42afc38040e502d46c02836e5b1135,Eukaryota,Obazoa,Breviatea,Breviatea_X,Breviatea_XX,Breviatea_XXX,Breviata-lineage,Breviata-lineage_X,Breviata-lineage_X_sp.,0.999877787
a9d97940ad64111fb49fa354fbe0e339,Eukaryota,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-1,Telonemia-Group-1_X,Telonemia-Group-1_X_sp.,0.974104482
dbfb537fcac782f8739c0077fc387bd5,Eukaryota,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-1,Telonemia-Group-1_X,Telonemia-Group-1_X_sp.,0.974721227
1a561400b9ac85843041858f6c9b1b64,Eukaryota,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-1,Telonemia-Group-1_X,Telonemia-Group-1_X_sp.,0.972316424
e7e5e966cb6b69db8782f501a3581ed2,Eukaryota,,,,,,,,,0.992481307
efbdf8005da9a2ec10695e88dc87a2dc,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Thraustochytriaceae,Thraustochytriaceae_LAB17,Thraustochytriaceae_LAB17_sp.,0.804333213
55deed6d8689f9583234d35e6542f162,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.802275466
55915ff4eaebeba8b00cbc05e7b3f2cb,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.797761091
17cf849f9e045ba01572720fbcc5e2de,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.780369403
e5828dd8f58c150d1fee551c2f0fa2fd,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.778571698
da99baa686ad69ee423e2f7024af7db0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_longispina,0.950568037
cd9eafdaf9c108dc30ebcdae0998f209,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_longispina,0.950603372
29b7defee56eaee3319c4fe1fb4c0e97,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_longispina,0.951379908
