OTUID,JWC25,JWC27,JWC37
251b1a65d66bda55d4d1f31ec52cdcb9,69,0,0
5756a68bad4c5f5a1f6aae059244c3b3,0,62,0
e1583dc079831d196ae035248cd0e1af,0,0,18
1d31ec5250a1ba8685b880d2c8862c6b,0,0,60
7ea82378952490d255e7fe47e4cf7692,0,0,13
3838c17314efef7ced48e2d408e47d7c,6,0,0
f1823124c0a55a1fc16018ddcd6a2d68,6,0,0
f77363d5ba8ef0c10777e7ea9958bda8,76,0,0
9c0aea94dee499570305a8de6d34dacc,0,40,0
60668bae4689b2e839697b16adb50297,0,0,10
e7ccebf949abb07bdfe56b649af38371,3,0,0
05c74b5b3b5178791e2245a7ed68f932,0,3,0
980e16c6819926b84040b7191b346dfd,0,0,10
3e0d96e820008fbf89d64557e8440328,28,0,0
f67ed4b1f45a913607f50e2f5d40871c,0,32,0
682fa9dd4efd1f323e852d6becfacccd,0,0,37
5b42afc38040e502d46c02836e5b1135,0,0,8
a9d97940ad64111fb49fa354fbe0e339,335,0,0
dbfb537fcac782f8739c0077fc387bd5,0,175,0
1a561400b9ac85843041858f6c9b1b64,0,0,376
e7e5e966cb6b69db8782f501a3581ed2,5,0,0
efbdf8005da9a2ec10695e88dc87a2dc,0,2,0
55deed6d8689f9583234d35e6542f162,26,0,0
55915ff4eaebeba8b00cbc05e7b3f2cb,0,19,0
17cf849f9e045ba01572720fbcc5e2de,18,0,0
e5828dd8f58c150d1fee551c2f0fa2fd,0,11,0
da99baa686ad69ee423e2f7024af7db0,190,0,0
cd9eafdaf9c108dc30ebcdae0998f209,0,123,0
29b7defee56eaee3319c4fe1fb4c0e97,0,0,197
e2254381f2a564bcffd32d3a3de36afe,0,0,111
ab6ef85a13589473133b3d649560d675,44,0,0
061651460586dd6c4b181de3c24fd87b,0,30,0
ee85edbcb532a0fbca9ee94adf7c0e39,0,0,25
864549c322efa1a2f34234a3142e1dac,473,0,0
6023d381b08bd61bb0496e3005d58475,0,411,0
2687712cf4a9968c47a7552d0466c03a,0,0,134
c493db563db0acf89c39039600d21dad,1670,0,0
f8a28699dbd57b37bdf21bbf3cc92f99,0,638,0
ea7e70356df1c5272f3e86eb35d97c78,0,0,25
305fcd02558890da599c57db7dbdf08a,173,0,0
