Feature ID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
deeb8f76fdebb687dbd2d60819012532,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Pansomonadida,Agitatidae,Agitatidae_X,Agitatidae_X_sp.,0.999988347
b28439c0df930119c49a5c88671ed7e4,Eukaryota,Amoebozoa,Discosea,Discosea_X,Centramoebia,Acanthopodida,Acanthamoebidae,Acanthamoeba,,0.999999988
ca54d328b7b960a54128e61b33fa0053,Eukaryota,Amoebozoa,Tubulinea,Tubulinea_X,Elardia,Euamoebida,LOS7N/I-lineage,,,0.998618674
2b4b1bf2bbe0e31d340bc6f39cdc5fe2,Eukaryota,Amoebozoa,Evosea,Evosea_X,Variosea,Fractovitellida,Schizoplasmodiidae,Schizoplasmodium,Schizoplasmodium_cavostelioides,0.999711381
ae2bf8b62d1f2f038a3d422683bb3172,Eukaryota,Amoebozoa,Evosea,Evosea_X,Variosea,Fractovitellida,Schizoplasmodiidae,Schizoplasmodium,Schizoplasmodium_cavostelioides,0.981212742
850cd8c88a2d4708fa215d5bf328383c,Eukaryota,,,,,,,,,0.996248577
fde4e20e694a2ec8cfaa6173fc441097,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,,,0.812762543
38119e08ed2185ea257578a43ca86c89,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,,,0.999978778
452fb2c187c78d62c848f926aa719bcd,Eukaryota,TSAR,Stramenopiles,Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Aplanochytrium,Aplanochytrium_sp.,0.725274551
de6aa75f8877393399f3df3abe129c4e,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Adriamonas,Adriamonas_peritocrescens,0.944340908
3dea8b8cf9aa3ab831077ae1003693d5,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,,,0.996229435
e11bdc079976cc5e731189d5f0bdfa5c,Eukaryota,Obazoa,Opisthokonta,,,,,,,0.929423082
55d7215863cc2a4e2df7e88d26a8dacb,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,,,0.987852135
1e252b5b7aa0f6c97098f8ed24514d79,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Helotiales_sp.,0.998217422
53fc81d46c4ee96144adc1a96e38d2db,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Monilinia,Monilinia_fructicola,0.7036621
4050f694d054356c0b6cf9cb5c7b95f0,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,,,0.952449449
