OTUID,V63MW,V66MW,V71MW
deeb8f76fdebb687dbd2d60819012532,0,0,19
b28439c0df930119c49a5c88671ed7e4,0,16,0
ca54d328b7b960a54128e61b33fa0053,0,3,0
2b4b1bf2bbe0e31d340bc6f39cdc5fe2,0,4,0
ae2bf8b62d1f2f038a3d422683bb3172,0,6,0
850cd8c88a2d4708fa215d5bf328383c,5,0,0
fde4e20e694a2ec8cfaa6173fc441097,4,0,0
38119e08ed2185ea257578a43ca86c89,0,0,12
452fb2c187c78d62c848f926aa719bcd,0,20,0
de6aa75f8877393399f3df3abe129c4e,0,0,20
3dea8b8cf9aa3ab831077ae1003693d5,0,0,21
e11bdc079976cc5e731189d5f0bdfa5c,0,2,0
55d7215863cc2a4e2df7e88d26a8dacb,0,36,0
1e252b5b7aa0f6c97098f8ed24514d79,0,8,0
53fc81d46c4ee96144adc1a96e38d2db,0,30,0
4050f694d054356c0b6cf9cb5c7b95f0,0,14,0
cc698559fa898a351571be97b4993e7e,0,25,0
a06aae233d779535e90b948fcf913924,0,29,0
164c90a036446b039de535992e73b34e,0,30,0
567b24bc1b466a769676dfd66596e5b8,0,36,0
938bafada1b7d8b31e1f7c488813dbd0,0,88,0
44f4c1b9b300773b4a4d9068ad5f792e,0,7,0
1eee68b1e6e0915508d93bd32500c296,0,32,0
0f9de3cecef5c1ef221db259fe5d74e8,0,106,0
a8b86b6421813d9a9a9a6924d8d8743b,0,19,0
c620fbd696810aefcf193939febe4043,0,59,0
9185814a92761519e582ea63fc5342e3,0,32,0
45ea1351c2b0dbf990f1ce1ca742c7a9,0,26,0
6bba3f623f1462d3c5051e2508729e82,0,735,0
9b692a0dbe284eccb3f569adc74640dd,0,101,0
282874ff4bf93eee2a1cad0477da1687,0,4,0
b7040c60e72aa24bad47f0c9d644a633,0,17,0
7b8d5d094172fafe17f1c7ed91f74d62,0,9,0
67906681178d341373b9d9bd90152722,0,59,0
489ad5da2bac4a85b4801b21537c18dd,0,35,0
d0b9e33c0485c82d03ec21e865758d30,0,105,0
d098500de02ba077fe683affc4b260d0,0,173,0
bfe080679c2afca087c05b6a935f9aac,0,179,0
d062c99175820241cca52372b9537b7f,0,19,0
2e849dcc6080d35448269d8b7f291a14,21,0,0
c5bc244a8f132c0aafe6c5327849be19,0,0,194
c40ba0785420940ce75ebbfc2bf17e7c,0,55,0
00e6bfdf20f0906cc4b49c12200d43a5,0,14,0
18c329e6c6b56d1012456b8517dd4fd8,0,72,0
9a16ce6288387f3224ff08588d9d8bdf,0,34,0
25f6a2629336a1a831bff088d828c031,0,28,0
08432c4ba47ee035bd93a74c3f4f7e1d,0,7,0
afb61377679ed40150c8526d53867612,0,19,0
f7ce62f3cb8a53e9c9ef3cc0438cc473,0,23,0
105382c019f499a436c7cd49226e7518,0,15,0
62d135bdeb1338c24f3d214bc6ad7c1c,0,73,0
761c1ec92744dfcf90278e891c4ff707,0,14,0
5c957d3dbf9d8e6a0581a46d678d39b0,0,11,0
42f9c579d5cb00d225ee501a93288240,0,72,0
1d4455ce451b5c2bfacd683afca45785,0,21,0
974c9370712e9355ca50d5bd5f03d89d,0,0,7
900a5b2f122867361d392f6ba3517d75,0,20,0
c7297189d58df332c82e2906a9c49c5b,0,0,33
6771d0d53c1706a76e4917be524396ac,0,23,0
2b8a527eb89e129c03796ec556501256,478,0,0
