OTUID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Confidence
610831eed0fbd9b8ad23e53107a98bda,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,,,1
0401109d037a2bf59628409a5e12ba65,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Ulvophyceae,Ulotrichales,Ulotrichales_X,Chlorothrix,Chlorothrix_sp.,0.71810646
a8f3a144d46928365637489a1887d6b4,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,,,0.999999996
2f274e3e1309b45b73e8217377a833fc,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,,,,,0.99902688
998b484d8cce0a06f43f0a0374b1ed50,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Novel-clade-10,Novel-clade-10_X,Novel-clade-10_XX,Novel-clade-10_XX_sp.,0.999999606
bde152dc63cd6819a84368fd19199b28,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadales_Clade-EC1Gb,Paraphysomonadales_Clade-EC1Gb_X,Paraphysomonadales_Clade-EC1Gb_X_sp.,0.999891321
87a127879c0eea46a0fdf6f49e65c84b,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadales_Clade-EC1Gb,Paraphysomonadales_Clade-EC1Gb_X,Paraphysomonadales_Clade-EC1Gb_X_sp.,0.998619931
93cd748ca127ed0f01d48386c723d033,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_XX,Chrysophyceae_XXX,Chrysophyceae_XXX_sp.,0.963862448
0d2c3112141f95fed9f26c202dbd642f,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.994985383
cafb61bd400f8b2459965aa33c5698e0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Hibberdiales,Hibberdiales_Clade-Env-2,Hibberdiales_Clade-Env-2_X,Hibberdiales_Clade-Env-2_X_sp.,0.958967241
05f4f4106c0108393098e1c21ae31158,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chromulinales,,,,0.999156041
ccb4d68ac885a7c6589a2d8eb4fc9510,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chromulinales,Chromulinaceae,Oikomonas,Oikomonas_sp.,0.999492539
193d1800fa49436dccc1b584978af22e,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,,,,,0.999735641
e7b879fb7f00adc677ca5b54e5e4302d,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,,,1
5f24f0f42843c671db40c7b392d19d9d,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Monomastigales,Monomastigaceae,Monomastigaceae_X,Monomastigaceae_X_sp.,0.999986256
c2456e140aad20b5e77327b21c62649d,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chloromonas,Chloromonas_subdivisa,0.839456461
1174a46036d3874ab032be34bbf74df2,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Mataza-lineage,Mataza-lineage_X,Mataza-lineage_X_sp.,0.999998961
7e4ce3e0c87a47e93810219b8d2b8224,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Komma,Komma_caudata,0.999676714
