OTUID,SRR17978930,SRR17978931,SRR17978932,SRR17978933,SRR17978934,SRR17978935,SRR17978936,SRR17978937,SRR17978938,SRR17978939,SRR17978940,SRR17978941,SRR17978942,SRR17978943,SRR17978944
610831eed0fbd9b8ad23e53107a98bda,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
0401109d037a2bf59628409a5e12ba65,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
a8f3a144d46928365637489a1887d6b4,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
2f274e3e1309b45b73e8217377a833fc,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
998b484d8cce0a06f43f0a0374b1ed50,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
bde152dc63cd6819a84368fd19199b28,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0
87a127879c0eea46a0fdf6f49e65c84b,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
93cd748ca127ed0f01d48386c723d033,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
0d2c3112141f95fed9f26c202dbd642f,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0
cafb61bd400f8b2459965aa33c5698e0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
05f4f4106c0108393098e1c21ae31158,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
ccb4d68ac885a7c6589a2d8eb4fc9510,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
193d1800fa49436dccc1b584978af22e,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
e7b879fb7f00adc677ca5b54e5e4302d,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
5f24f0f42843c671db40c7b392d19d9d,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
c2456e140aad20b5e77327b21c62649d,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1174a46036d3874ab032be34bbf74df2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7e4ce3e0c87a47e93810219b8d2b8224,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
609327559a2896639977c47d85efa276,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0
446a36df4a27d8590f26532f147ab7ed,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
f4f490d169e9e9e916e2a5b643fbc50a,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
256595702b32a11077f4648d14226a1b,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
fa851dda2c14de8a9acefcac186ac6b7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
7205f5ea62df1c310e79a9b6219e7d14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
9734c0ae57151720318cd1f9ae8abb71,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
6497013d8c0b6cf4699ccf3154bf6332,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
985067dd14a34cceecae458bc2886469,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
32421c8d6039034b74ab8733282e1644,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
abc64c1c7989fbd92f994a106631b441,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
8a33aeb737ae3cb1d95e9be28b4f7e68,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
fa9ce4ea1fd5056564250e6baf06486c,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
e760c7439a09fedf0aecee89f284758f,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
0e692fe6f134a7578d6bff14ddde063f,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
6e89577b65c1079edadfa785b0400d21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
e7d33c6702c0f33a82fc482be924e0ed,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0
32bcf237ea11fd6f9c9e2e6417db59ea,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
155dc79255454f923b64fcec261c0adf,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
a8a5e8ce8df55df0d11d5afcdc6731c8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
4bd259aa2d5876c11a101b7d7713e7e0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
618fc25abb0625f84afd88de57a833be,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
24633b51280839b9b042614d727b20f6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
f6c4eb59f3e694d7867493983c444dc9,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0
b382ab266db67e1b7e2c22f3570fca72,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
70515faedc131bb5d27bba58455f6d32,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
19a1636910026dca8954116dc512d25b,0,0,0,139,33,0,0,0,0,0,0,0,0,0,0
51a983b1a9969336539b71d566baee07,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
1bd1870509d2bac005cbc9a374db239d,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
7436fad5288d515e815152381364d40c,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
e4cd6031213c27bc02654080522cd9ae,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
406afc74d8dac3053ce9a421e2dfaa88,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
57977629b216a33d8580f4a2f63a69a0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
aba54325a278c31bbf0316d79bd37675,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
75510510b73e8097cd34d459fb8f84a8,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
0c44eed459c4fbdb4d4791a488fa1765,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
ba54d134c6a797f8e54b249abe3dab8d,0,0,0,0,93,0,171,0,0,0,0,0,0,0,0
23da7bbc11f679d85790c70c078f1dff,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
e4f9474ccfdf74ba843c3cb7875ce23f,0,0,0,0,42,0,36,0,0,0,0,0,0,0,0
052383d88fa40474227b133e1a8955e5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
be08c0c9b35b5a8fee90f044794298a9,0,0,0,0,26,0,12,0,0,0,0,0,0,0,0
2923e2a607d7665dce8685e825a510b8,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
