OTUID,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR19238715,EUK581F_EUK1134R,anoxic,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_anoxic_3.5,,,,,,,3.5,,,,,,,,,,PRJNA838732,SAMN28462068,Metagenome or environmental,06/07/2018,SRX15299515,Russia,Europe,66.5483 N 33.1347 E,68_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238716,EUK581F_EUK1134R,deep,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_chemocline_3.1a,,,,,,,3.1,,,,,,,,,,PRJNA838732,SAMN28462067,Metagenome or environmental,06/08/2018,SRX15299514,Russia,Europe,66.5483 N 33.1347 E,67_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238717,EUK581F_EUK1134R,deep,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_chemocline_3.1b,,,,,,,3.1,,,,,,,,,,PRJNA838732,SAMN28462066,Metagenome or environmental,06/09/2018,SRX15299513,Russia,Europe,66.5483 N 33.1347 E,66_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238718,EUK581F_EUK1134R,anoxic,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_anoxic_4a,,,,,,,4,,,,,,,,,,PRJNA838732,SAMN28462065,Metagenome or environmental,06/10/2018,SRX15299512,Russia,Europe,66.5483 N 33.1347 E,65_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238719,EUK581F_EUK1134R,anoxic,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_anoxic_4b,,,,,,,4,,,,,,,,,,PRJNA838732,SAMN28462064,Metagenome or environmental,06/11/2018,SRX15299511,Russia,Europe,66.5483 N 33.1347 E,64_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238720,EUK581F_EUK1134R,shallow,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_upper_0.5a,,,,,,,0.5,,,,,,,,,,PRJNA838732,SAMN28462063,Metagenome or environmental,06/12/2018,SRX15299510,Russia,Europe,66.5483 N 33.1347 E,63_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238721,EUK581F_EUK1134R,shallow,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_upper_0.5b,,,,,,,0.5,,,,,,,,,,PRJNA838732,SAMN28462062,Metagenome or environmental,06/13/2018,SRX15299509,Russia,Europe,66.5483 N 33.1347 E,62_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238722,EUK581F_EUK1134R,surface,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_surface,,,,,,,0,,,,,,,,,,PRJNA838732,SAMN28462061,Metagenome or environmental,06/14/2018,SRX15299508,Russia,Europe,66.5483 N 33.1347 E,61_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238723,EUK581F_EUK1134R,surface,White Sea,Coastal lagoon,water,Russia,WS_surface,,,,,,,,,,,,,,,,,PRJNA838732,SAMN28462077,Metagenome or environmental,06/15/2018,SRX15299507,Russia,Europe,66.5503 N 33.1343 E,77_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
SRR19238724,EUK581F_EUK1134R,shallow,Kislo-Sladkoe Lake,Coastal lagoon,water,Russia,KS_upper_1a,,,,,,,1,,,,,,,,,,PRJNA838732,SAMN28462076,Metagenome or environmental,06/16/2018,SRX15299506,Russia,Europe,66.5483 N 33.1347 E,76_19,lake water metagenome,SRP375558,,,,,,,,,,,,,
