OTUID,SRR19238715,SRR19238716,SRR19238717,SRR19238718,SRR19238719,SRR19238720,SRR19238721,SRR19238722,SRR19238723,SRR19238724,SRR19238725,SRR19238726,SRR19238727,SRR19238728,SRR19238729,SRR19238730,SRR19238731,SRR19238732,SRR19238733
f4ae02ff72299770af13716ab3fd09b3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33998db32c4633e8f67a26dcd7846678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2779940cf8762ebe531b3017535d8683,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990c4fe5899859215bb6961f744117dc,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575e929fb182ce55fdf058aa81dbf9f3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa6f216574015de587ba0d0aefed1c12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
63076f1078e4aa8401323da7308878ec,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2ec9314dce17283c0afb6d14c95f0114,0,0,0,0,0,0,0,0,0,0,51,25,37,0,0,0,0,0,0
e7a61c6113c0b4261f5ebf24445a58ba,0,0,0,0,0,46,60,71,0,0,0,0,0,0,0,0,0,0,0
2ac21cc6437a2ea9b1e7d89628232090,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0
e252efcbc82225a14678721b6a87f86e,0,0,0,0,0,0,0,0,0,0,94,0,89,0,0,0,0,0,0
4684ee7a131ff2d828e8e77c272ee04f,0,0,0,0,0,0,38,0,66,6,70,0,55,0,0,20,104,0,0
62dc9a917d6b6e172209ea9198feea05,0,0,0,0,0,39,81,0,0,0,0,0,0,0,0,0,0,0,0
97a645437f361e27974c98f30cfd37f5,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
912007287c5dc968d12182aedbb4ce7a,0,0,0,0,0,0,0,9,0,0,34,0,5,0,0,12,57,0,0
86129d65bcc25bf4850bf949a9110c42,0,0,0,0,0,0,43,18,0,0,0,0,0,0,0,0,0,0,0
1ee698fb3b156f6b4ad83ff1acd6ed11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
6900853fd0213b170257fbc60ec81726,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
37e62fc1aeb8f0a2f752773fa9e97552,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
c7bcf90b23b3626ce9a0d0bf47211e87,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfc0e855222358267ab53d4029e394b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
ba62036efc38ac98982b49a387d59bfc,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537383d3d9a7d5fca56a05ce6bd26b76,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49dec67fc71b01935de5e277467c4ce9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
98b6dce07326edff736c356096c19ff8,0,0,0,0,0,0,51,21,0,0,0,0,0,0,0,0,0,0,0
fead6cd608a0ad12840551673fcca986,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
608ecf35430d73755a9a8254a026cd09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
b36ac713e42c3b978d8af2f8b31afc8a,0,0,0,0,0,0,39,0,0,0,8,20,0,0,0,0,0,0,0
90f3194bc841266853c0d7b55c605a91,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
8ce2977feee72adbb751c665ea4a004d,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
cd49649da2684688f74f730a3e296ea2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
f263b8ab5c830338c29519ec30792ec3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386c514cb78a48ce5cb6f83d5c7a68ae,658,709,406,203,280,0,0,0,0,0,0,0,0,29,0,0,0,1205,1306
56b12128942b3108c253b50b281ee5f5,0,0,0,0,0,50,95,107,35,80,49,42,65,0,0,85,51,0,0
a9233f3daaa7df8d8bcfc831d7c6892c,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
c4328f9b6539b5d03e14ebc4d5ecc2c3,0,0,0,0,0,0,20,0,0,73,0,46,0,0,0,0,0,0,0
cfb0b9430938389e7b0d71cc15d320a6,0,0,0,0,0,57,687,94,0,64,135,44,113,0,0,0,0,0,0
920365da3a115f5423e8ba6a9a09c1df,0,0,0,0,0,0,0,0,0,151,0,81,0,0,0,0,0,0,0
ced92abd9a0740e6d74aa2d5775100ac,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
d3b59642380e4d4ee391dab52a104abc,0,0,0,0,0,49,260,115,0,75,227,64,95,75,57,0,22,0,0
4fdabd098717b3e7e2c003005433e912,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
