sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR18739297,1380f_1510r,surface,Sutri_Dhaka_Upper_glacier,Glacier Cryoconite,cryoconite,India:Himachal Pradesh,HIM2_1380f,78,43,,,,,,,,,,,,,,,PRJNA825340,SAMN27512307,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX14839386,India,Asia,32.58361111 N 77.66194444 E,HIM2SV9L1,sediment metagenome,SRP369965,4980,,206,62,68,11114,25,,,151,201,,
SRR18739298,1380f_1510r,surface,Sutri_Dhaka_Lower_glacier,Glacier Cryoconite,cryoconite,India:Himachal Pradesh,HIM1_1380f,18.72158,33.18128,,,,,,,,,,,,,,,PRJNA825340,SAMN27512306,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX14839385,India,Asia,32.39555556 N 77.70277778 E,HIM1SV9L1,sediment metagenome,SRP369965,4763,,121.1351,46.11514,58.72068,9852.315,14.11886,,,144.8811,149.7561,,
SRR18739299,1380f_1510r,surface,Larsemann_Hills_glacier,Glacier Cryoconite,cryoconite,Antarctica,LHS_1380f,7,3,,,,,,,,,,,,,,,PRJNA825340,SAMN27512305,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX14839384,uncalculated,uncalculated,69.41797 S 76.22428 E,LHS33SV9L1,sediment metagenome,SRP369965,10,,194,133,96,941,14,,,58,106,,
SRR18739300,1380f_1510r,surface,Amery_Ice_Shelf_glacier,Glacier Cryoconite,cryoconite,Antarctica,AIS_1380f,,,,,,,,,,,,,,,,,PRJNA825340,SAMN27512304,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX14839383,uncalculated,uncalculated,70.25555556 S 72.54833333 E,AISSV9L1,sediment metagenome,SRP369965,50,,,,,,,,,,,,
SRR23550456,1380f_1510r,surface,Sutri_Dhaka_Upper_glacier,Glacier Cryoconite,water,India:Himachal Pradesh,HIM2W_1380f,1.87,0.235,,,,,,,,,,,,,,,PRJNA825340,SAMN33321557,"MIMS.me,MIGS/MIMS/MIMARKS.water",2015,SRX19437693,India,Asia,32.58361111 N 77.66194444 E,HIM2WBv9L1,glacier metagenome,SRP369965,,,2.161,0.2081,0.2714,2.161,0.427,,,,,,4980
SRR18739293,1389f_1510r,surface,Sutri_Dhaka_Upper_glacier,Glacier Cryoconite,cryoconite,India:Himachal Pradesh,HIM2_1389f,78,43,,,,,,,,,,,,,,,PRJNA825340,SAMN27512307,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX14839390,India,Asia,32.58361111 N 77.66194444 E,HIM2SV9L2,sediment metagenome,SRP369965,4980,,206,62,68,11114,25,,,151,201,,
SRR18739294,1389f_1510r,surface,Sutri_Dhaka_Lower_glacier,Glacier Cryoconite,cryoconite,India:Himachal Pradesh,HIM1_1389f,18.72158,33.18128,,,,,,,,,,,,,,,PRJNA825340,SAMN27512306,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2015,SRX14839389,India,Asia,32.39555556 N 77.70277778 E,HIM1SV9L2,sediment metagenome,SRP369965,4763,,121.1351,46.11514,58.72068,9852.315,14.11886,,,144.8811,149.7561,,
SRR18739295,1389f_1510r,surface,Larsemann_Hills_glacier,Glacier Cryoconite,cryoconite,Antarctica,LHS_1389f,7,3,,,,,,,,,,,,,,,PRJNA825340,SAMN27512305,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX14839388,uncalculated,uncalculated,69.41797 S 76.22428 E,LHS33SV9L2,sediment metagenome,SRP369965,10,,194,133,96,941,14,,,58,106,,
SRR18739296,1389f_1510r,surface,Amery_Ice_Shelf_glacier,Glacier Cryoconite,cryoconite,Antarctica,AIS_1389f,,,,,,,,,,,,,,,,,PRJNA825340,SAMN27512304,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX14839387,uncalculated,uncalculated,70.25555556 S 72.54833333 E,AISSV9L2,sediment metagenome,SRP369965,50,,,,,,,,,,,,
SRR23550455,1389f_1510r,surface,Sutri_Dhaka_Upper_glacier,Glacier Cryoconite,water,India:Himachal Pradesh,HIM2W_1389f,1.87,0.235,,,,,,,,,,,,,,,PRJNA825340,SAMN33321557,"MIMS.me,MIGS/MIMS/MIMARKS.water",2015,SRX19437694,India,Asia,32.58361111 N 77.66194444 E,HIM2WBv9L2,glacier metagenome,SRP369965,,,2.161,0.2081,0.2714,2.161,0.427,,,,,,4980
